           1 NaN                     NaN                    
           2 NaN                     NaN                    
           3 NaN                     NaN                    
           4 NaN                     NaN                    
           5 NaN                     NaN                    
           6 NaN                     NaN                    
           7 NaN                     NaN                    
           8 NaN                     NaN                    
           9 NaN                     NaN                    
          10 NaN                     NaN                    
          11 NaN                     NaN                    
          12 NaN                     NaN                    
          13 NaN                     NaN                    
          14 NaN                     NaN                    
          15 NaN                     NaN                    
          16 NaN                     NaN                    
          17 NaN                     NaN                    
          18 NaN                     NaN                    
          19 NaN                     NaN                    
          20 NaN                     NaN                    
          21 NaN                     NaN                    
          22 NaN                     NaN                    
          23 NaN                     NaN                    
          24 NaN                     NaN                    
          25 NaN                     NaN                    
          26 NaN                     NaN                    
          27 NaN                     NaN                    
          28 NaN                     NaN                    
          29 NaN                     NaN                    
          30 NaN                     NaN                    
          31 NaN                     NaN                    
          32 NaN                     NaN                    
          33 NaN                     NaN                    
          34 NaN                     NaN                    
          35 NaN                     NaN                    
          36 NaN                     NaN                    
          37 NaN                     NaN                    
          38 NaN                     NaN                    
          39 NaN                     NaN                    
          40 NaN                     NaN                    
          41 NaN                     NaN                    
          42 NaN                     NaN                    
          43 NaN                     NaN                    
          44 NaN                     NaN                    
          45 NaN                     NaN                    
          46 NaN                     NaN                    
          47 NaN                     NaN                    
          48 NaN                     NaN                    
          49 NaN                     NaN                    
          50 NaN                     NaN                    
          51 NaN                     NaN                    
          52 NaN                     NaN                    
          53 NaN                     NaN                    
          54 NaN                     NaN                    
          55 NaN                     NaN                    
          56 NaN                     NaN                    
          57 NaN                     NaN                    
          58 NaN                     NaN                    
          59 NaN                     NaN                    
          60 NaN                     NaN                    
          61 NaN                     NaN                    
          62 NaN                     NaN                    
          63 NaN                     NaN                    
          64 NaN                     NaN                    
          65 NaN                     NaN                    
          66 NaN                     NaN                    
          67 NaN                     NaN                    
          68 NaN                     NaN                    
          69 NaN                     NaN                    
          70 NaN                     NaN                    
          71 NaN                     NaN                    
          72 NaN                     NaN                    
          73 NaN                     NaN                    
          74 NaN                     NaN                    
          75 NaN                     NaN                    
          76 NaN                     NaN                    
          77 NaN                     NaN                    
          78 NaN                     NaN                    
          79 NaN                     NaN                    
          80 NaN                     NaN                    
          81 NaN                     NaN                    
          82 NaN                     NaN                    
          83 NaN                     NaN                    
          84 NaN                     NaN                    
          85 NaN                     NaN                    
          86 NaN                     NaN                    
          87 NaN                     NaN                    
          88 NaN                     NaN                    
          89 NaN                     NaN                    
          90 NaN                     NaN                    
          91 NaN                     NaN                    
          92 NaN                     NaN                    
          93 NaN                     NaN                    
          94 NaN                     NaN                    
          95 NaN                     NaN                    
          96 NaN                     NaN                    
          97 NaN                     NaN                    
          98 NaN                     NaN                    
          99 NaN                     NaN                    
         100 NaN                     NaN                    
         101 NaN                     NaN                    
         102 NaN                     NaN                    
         103 NaN                     NaN                    
         104 NaN                     NaN                    
         105 NaN                     NaN                    
         106 NaN                     NaN                    
         107 NaN                     NaN                    
         108 NaN                     NaN                    
         109 NaN                     NaN                    
         110 NaN                     NaN                    
         111 NaN                     NaN                    
         112 NaN                     NaN                    
         113 NaN                     NaN                    
         114 NaN                     NaN                    
         115 NaN                     NaN                    
         116 NaN                     NaN                    
         117 NaN                     NaN                    
         118 NaN                     NaN                    
         119 NaN                     NaN                    
         120 NaN                     NaN                    
         121 NaN                     NaN                    
         122 NaN                     NaN                    
         123 NaN                     NaN                    
         124 NaN                     NaN                    
         125 NaN                     NaN                    
         126 NaN                     NaN                    
         127 NaN                     NaN                    
         128 NaN                     NaN                    
